,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[34],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[35],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[36],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[37],2.864,0.237,2.416,3.333,0.005,0.003,2533.0,1981.0,1.0,LogNormal
m[38],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[39],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[40],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[41],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[42],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[43],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[44],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[45],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[46],2.406,0.115,2.175,2.621,0.002,0.001,3890.0,2839.0,1.0,LogNormal
m[47],2.406,0.115,2.175,2.621,0.002,0.001,3890.0,2839.0,1.0,LogNormal
r,0.617,0.145,0.341,0.897,0.003,0.002,2505.0,2581.0,1.0,Gamma
a,7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
s,4.567,0.492,3.621,5.522,0.01,0.007,2413.0,2803.0,1.0,Gamma
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[5],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[6],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[7],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[8],3.704,0.872,2.043,5.38,0.017,0.012,2505.0,2581.0,1.0,Gamma
e[9],6.173,1.454,3.405,8.967,0.029,0.02,2505.0,2581.0,1.0,Gamma
e[10],2.469,0.582,1.362,3.587,0.012,0.008,2505.0,2581.0,1.0,Gamma
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[12],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[13],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[14],6.173,1.454,3.405,8.967,0.029,0.02,2505.0,2581.0,1.0,Gamma
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[17],4.321,1.018,2.384,6.277,0.02,0.014,2505.0,2581.0,1.0,Gamma
e[18],1.235,0.291,0.681,1.793,0.006,0.004,2505.0,2581.0,1.0,Gamma
e[19],1.852,0.436,1.022,2.69,0.009,0.006,2505.0,2581.0,1.0,Gamma
e[20],7.408,1.745,4.086,10.76,0.035,0.025,2505.0,2581.0,1.0,Gamma
e[21],4.321,1.018,2.384,6.277,0.02,0.014,2505.0,2581.0,1.0,Gamma
e[22],1.852,0.436,1.022,2.69,0.009,0.006,2505.0,2581.0,1.0,Gamma
e[23],3.087,0.727,1.703,4.483,0.014,0.01,2505.0,2581.0,1.0,Gamma
e[24],4.321,1.018,2.384,6.277,0.02,0.014,2505.0,2581.0,1.0,Gamma
e[25],3.087,0.727,1.703,4.483,0.014,0.01,2505.0,2581.0,1.0,Gamma
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[27],3.704,0.872,2.043,5.38,0.017,0.012,2505.0,2581.0,1.0,Gamma
e[28],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[29],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[30],6.173,1.454,3.405,8.967,0.029,0.02,2505.0,2581.0,1.0,Gamma
e[31],4.321,1.018,2.384,6.277,0.02,0.014,2505.0,2581.0,1.0,Gamma
e[32],3.087,0.727,1.703,4.483,0.014,0.01,2505.0,2581.0,1.0,Gamma
e[33],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[34],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[35],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[36],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[37],8.642,2.035,4.768,12.553,0.04,0.029,2505.0,2581.0,1.0,Gamma
e[38],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[39],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[40],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[41],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[42],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[43],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[44],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[45],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[46],4.321,1.018,2.384,6.277,0.02,0.014,2505.0,2581.0,1.0,Gamma
e[47],4.321,1.018,2.384,6.277,0.02,0.014,2505.0,2581.0,1.0,Gamma
m[0],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[1],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[2],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[3],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[4],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[5],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[6],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[7],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[8],11.471,0.816,9.921,13.172,0.013,0.009,4055.0,2959.0,1.0,Gamma
m[9],13.941,1.267,11.535,16.442,0.021,0.015,3533.0,3176.0,1.0,Gamma
m[10],10.237,0.67,8.914,11.574,0.011,0.008,3746.0,3193.0,1.0,Gamma
m[11],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[12],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[13],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[14],13.941,1.267,11.535,16.442,0.021,0.015,3533.0,3176.0,1.0,Gamma
m[15],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[16],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[17],12.089,0.915,10.229,13.844,0.015,0.01,3984.0,3261.0,1.0,Gamma
m[18],9.002,0.633,7.789,10.285,0.012,0.008,2874.0,3048.0,1.0,Gamma
m[19],9.619,0.635,8.369,10.884,0.011,0.008,3310.0,2993.0,1.0,Gamma
m[20],15.175,1.526,12.262,18.154,0.026,0.019,3325.0,3140.0,1.0,Gamma
m[21],12.089,0.915,10.229,13.844,0.015,0.01,3984.0,3261.0,1.0,Gamma
m[22],9.619,0.635,8.369,10.884,0.011,0.008,3310.0,2993.0,1.0,Gamma
m[23],10.854,0.732,9.434,12.329,0.012,0.008,4008.0,3185.0,1.0,Gamma
m[24],12.089,0.915,10.229,13.844,0.015,0.01,3984.0,3261.0,1.0,Gamma
m[25],10.854,0.732,9.434,12.329,0.012,0.008,4008.0,3185.0,1.0,Gamma
m[26],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[27],11.471,0.816,9.921,13.172,0.013,0.009,4055.0,2959.0,1.0,Gamma
m[28],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[29],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
