,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[1],9.012,0.766,7.552,10.586,0.015,0.011,2617.0,2826.0,1.0,Gamma
m[2],15.472,1.639,12.179,18.534,0.028,0.02,3294.0,2205.0,1.0,Gamma
m[3],11.883,1.019,9.76,13.784,0.017,0.012,3747.0,2879.0,1.0,Gamma
m[4],9.012,0.766,7.552,10.586,0.015,0.011,2617.0,2826.0,1.0,Gamma
m[5],10.447,0.846,8.771,12.107,0.015,0.01,3376.0,3036.0,1.0,Gamma
m[6],11.883,1.019,9.76,13.784,0.017,0.012,3747.0,2879.0,1.0,Gamma
m[7],10.447,0.846,8.771,12.107,0.015,0.01,3376.0,3036.0,1.0,Gamma
m[8],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[9],11.165,0.923,9.32,12.968,0.015,0.011,3633.0,3021.0,1.0,Gamma
m[10],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[11],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[12],14.036,1.372,11.332,16.712,0.023,0.016,3557.0,2375.0,1.0,Gamma
m[13],11.883,1.019,9.76,13.784,0.017,0.012,3747.0,2879.0,1.0,Gamma
m[14],10.447,0.846,8.771,12.107,0.015,0.01,3376.0,3036.0,1.0,Gamma
m[15],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[16],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[17],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[18],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[19],16.907,1.92,13.4,20.785,0.034,0.025,3013.0,2165.0,1.0,Gamma
m[20],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[21],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[22],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[23],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[24],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[25],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[26],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[27],6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
m[28],11.883,1.019,9.76,13.784,0.017,0.012,3747.0,2879.0,1.0,Gamma
m[29],11.883,1.019,9.76,13.784,0.017,0.012,3747.0,2879.0,1.0,Gamma
r,0.05,0.044,0.0,0.138,0.001,0.001,1344.0,1598.0,1.0,Weibull
a,1.509,0.257,1.007,1.978,0.006,0.004,1692.0,1454.0,1.0,Weibull
s,10.81,1.332,7.934,13.242,0.033,0.023,1654.0,1809.0,1.0,Weibull
e[0],0.099,0.088,0.0,0.277,0.002,0.002,1344.0,1598.0,1.0,Weibull
e[1],0.149,0.133,0.0,0.415,0.004,0.003,1344.0,1598.0,1.0,Weibull
e[2],0.595,0.531,0.0,1.662,0.014,0.01,1344.0,1598.0,1.0,Weibull
e[3],0.347,0.31,0.0,0.969,0.008,0.006,1344.0,1598.0,1.0,Weibull
e[4],0.149,0.133,0.0,0.415,0.004,0.003,1344.0,1598.0,1.0,Weibull
e[5],0.248,0.221,0.0,0.692,0.006,0.004,1344.0,1598.0,1.0,Weibull
e[6],0.347,0.31,0.0,0.969,0.008,0.006,1344.0,1598.0,1.0,Weibull
e[7],0.248,0.221,0.0,0.692,0.006,0.004,1344.0,1598.0,1.0,Weibull
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[9],0.297,0.265,0.0,0.831,0.007,0.005,1344.0,1598.0,1.0,Weibull
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[12],0.496,0.442,0.0,1.385,0.012,0.008,1344.0,1598.0,1.0,Weibull
e[13],0.347,0.31,0.0,0.969,0.008,0.006,1344.0,1598.0,1.0,Weibull
e[14],0.248,0.221,0.0,0.692,0.006,0.004,1344.0,1598.0,1.0,Weibull
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[19],0.694,0.619,0.0,1.939,0.017,0.012,1344.0,1598.0,1.0,Weibull
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[28],0.347,0.31,0.0,0.969,0.008,0.006,1344.0,1598.0,1.0,Weibull
