,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[11],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[12],13.681,1.275,11.149,15.992,0.021,0.015,3654.0,2557.0,1.0,Gamma
m[13],11.89,0.924,10.065,13.578,0.015,0.01,3977.0,2617.0,1.0,Gamma
m[14],10.695,0.725,9.224,12.04,0.011,0.008,4225.0,3029.0,1.0,Gamma
m[15],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[16],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[17],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[18],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[19],16.07,1.782,12.589,19.425,0.03,0.022,3419.0,2521.0,1.0,Gamma
m[20],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[21],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[22],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[23],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[24],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[25],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[26],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[27],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[28],11.89,0.924,10.065,13.578,0.015,0.01,3977.0,2617.0,1.0,Gamma
m[29],11.89,0.924,10.065,13.578,0.015,0.01,3977.0,2617.0,1.0,Gamma
r,0.032,0.03,0.0,0.088,0.001,0.0,1377.0,1208.0,1.0,Weibull
a,1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
s,11.324,0.927,9.587,13.152,0.021,0.015,2032.0,2250.0,1.0,Weibull
e[0],0.063,0.059,0.0,0.176,0.001,0.001,1377.0,1208.0,1.0,Weibull
e[1],0.095,0.089,0.0,0.264,0.002,0.001,1377.0,1208.0,1.0,Weibull
e[2],0.38,0.355,0.0,1.055,0.008,0.006,1377.0,1208.0,1.0,Weibull
e[3],0.222,0.207,0.0,0.615,0.005,0.003,1377.0,1208.0,1.0,Weibull
e[4],0.095,0.089,0.0,0.264,0.002,0.001,1377.0,1208.0,1.0,Weibull
e[5],0.158,0.148,0.0,0.439,0.003,0.002,1377.0,1208.0,1.0,Weibull
e[6],0.222,0.207,0.0,0.615,0.005,0.003,1377.0,1208.0,1.0,Weibull
e[7],0.158,0.148,0.0,0.439,0.003,0.002,1377.0,1208.0,1.0,Weibull
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[9],0.19,0.177,0.0,0.527,0.004,0.003,1377.0,1208.0,1.0,Weibull
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[12],0.316,0.296,0.0,0.879,0.007,0.005,1377.0,1208.0,1.0,Weibull
e[13],0.222,0.207,0.0,0.615,0.005,0.003,1377.0,1208.0,1.0,Weibull
e[14],0.158,0.148,0.0,0.439,0.003,0.002,1377.0,1208.0,1.0,Weibull
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[19],0.443,0.414,0.0,1.23,0.009,0.007,1377.0,1208.0,1.0,Weibull
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[28],0.222,0.207,0.0,0.615,0.005,0.003,1377.0,1208.0,1.0,Weibull
e[29],0.222,0.207,0.0,0.615,0.005,0.003,1377.0,1208.0,1.0,Weibull
m[0],1.791,0.205,1.407,2.202,0.004,0.003,2372.0,2219.0,1.0,Weibull
m[1],1.822,0.206,1.44,2.246,0.004,0.003,2419.0,2327.0,1.0,Weibull
m[2],2.107,0.356,1.497,2.86,0.008,0.005,2152.0,2230.0,1.0,Weibull
m[3],1.949,0.25,1.45,2.429,0.005,0.004,2386.0,1943.0,1.0,Weibull
m[4],1.822,0.206,1.44,2.246,0.004,0.003,2419.0,2327.0,1.0,Weibull
m[5],1.886,0.222,1.45,2.314,0.004,0.003,2446.0,1938.0,1.0,Weibull
m[6],1.949,0.25,1.45,2.429,0.005,0.004,2386.0,1943.0,1.0,Weibull
m[7],1.886,0.222,1.45,2.314,0.004,0.003,2446.0,1938.0,1.0,Weibull
m[8],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[9],1.917,0.235,1.464,2.375,0.005,0.003,2422.0,2242.0,1.0,Weibull
m[10],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[11],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[12],2.044,0.31,1.5,2.703,0.006,0.005,2247.0,2213.0,1.0,Weibull
m[13],1.949,0.25,1.45,2.429,0.005,0.004,2386.0,1943.0,1.0,Weibull
m[14],1.886,0.222,1.45,2.314,0.004,0.003,2446.0,1938.0,1.0,Weibull
m[15],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[16],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[17],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[18],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[19],2.17,0.406,1.501,3.026,0.009,0.006,2073.0,2153.0,1.0,Weibull
m[20],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[21],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[22],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[23],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[24],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[25],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[26],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[27],1.727,0.214,1.323,2.148,0.005,0.003,2233.0,1807.0,1.0,Weibull
m[28],1.949,0.25,1.45,2.429,0.005,0.004,2386.0,1943.0,1.0,Weibull
m[29],1.949,0.25,1.45,2.429,0.005,0.004,2386.0,1943.0,1.0,Weibull
r,0.69,0.182,0.361,0.998,0.003,0.002,3040.0,2185.0,1.0,NegativeBinomial
a,7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
s,4.818,1.244,2.56,7.249,0.019,0.014,4352.0,3274.0,1.0,NegativeBinomial
e[0],1.38,0.364,0.722,1.996,0.006,0.005,3040.0,2185.0,1.0,NegativeBinomial
e[1],2.07,0.546,1.083,2.993,0.01,0.007,3040.0,2185.0,1.0,NegativeBinomial
e[2],8.282,2.183,4.332,11.974,0.038,0.027,3040.0,2185.0,1.0,NegativeBinomial
e[3],4.831,1.274,2.527,6.985,0.022,0.016,3040.0,2185.0,1.0,NegativeBinomial
e[4],2.07,0.546,1.083,2.993,0.01,0.007,3040.0,2185.0,1.0,NegativeBinomial
e[5],3.451,0.91,1.805,4.989,0.016,0.011,3040.0,2185.0,1.0,NegativeBinomial
e[6],4.831,1.274,2.527,6.985,0.022,0.016,3040.0,2185.0,1.0,NegativeBinomial
e[7],3.451,0.91,1.805,4.989,0.016,0.011,3040.0,2185.0,1.0,NegativeBinomial
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[9],4.141,1.092,2.166,5.987,0.019,0.014,3040.0,2185.0,1.0,NegativeBinomial
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[12],6.902,1.819,3.61,9.978,0.032,0.023,3040.0,2185.0,1.0,NegativeBinomial
e[13],4.831,1.274,2.527,6.985,0.022,0.016,3040.0,2185.0,1.0,NegativeBinomial
e[14],3.451,0.91,1.805,4.989,0.016,0.011,3040.0,2185.0,1.0,NegativeBinomial
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[19],9.662,2.547,5.054,13.969,0.045,0.032,3040.0,2185.0,1.0,NegativeBinomial
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[28],4.831,1.274,2.527,6.985,0.022,0.016,3040.0,2185.0,1.0,NegativeBinomial
e[29],4.831,1.274,2.527,6.985,0.022,0.016,3040.0,2185.0,1.0,NegativeBinomial
m[0],9.064,0.743,7.712,10.57,0.011,0.008,4248.0,3145.0,1.0,NegativeBinomial
m[1],9.754,0.795,8.288,11.401,0.012,0.008,4627.0,3199.0,1.0,NegativeBinomial
m[2],15.966,2.081,11.905,19.572,0.033,0.024,3792.0,2798.0,1.0,NegativeBinomial
m[3],12.515,1.27,10.068,14.942,0.019,0.013,4514.0,3041.0,1.0,NegativeBinomial
m[4],9.754,0.795,8.288,11.401,0.012,0.008,4627.0,3199.0,1.0,NegativeBinomial
m[5],11.134,0.995,9.281,13.178,0.014,0.01,4786.0,3139.0,1.0,NegativeBinomial
m[6],12.515,1.27,10.068,14.942,0.019,0.013,4514.0,3041.0,1.0,NegativeBinomial
m[7],11.134,0.995,9.281,13.178,0.014,0.01,4786.0,3139.0,1.0,NegativeBinomial
m[8],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[9],11.825,1.127,9.676,14.047,0.016,0.012,4677.0,3032.0,1.0,NegativeBinomial
m[10],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[11],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[12],14.585,1.745,11.21,17.763,0.027,0.019,4020.0,2733.0,1.0,NegativeBinomial
m[13],12.515,1.27,10.068,14.942,0.019,0.013,4514.0,3041.0,1.0,NegativeBinomial
m[14],11.134,0.995,9.281,13.178,0.014,0.01,4786.0,3139.0,1.0,NegativeBinomial
m[15],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[16],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[17],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[18],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[19],17.346,2.425,12.562,21.475,0.039,0.028,3646.0,2893.0,1.0,NegativeBinomial
m[20],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[21],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[22],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[23],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[24],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[25],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[26],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[27],7.684,0.768,6.197,9.183,0.013,0.009,3412.0,3017.0,1.0,NegativeBinomial
m[28],12.515,1.27,10.068,14.942,0.019,0.013,4514.0,3041.0,1.0,NegativeBinomial
m[29],12.515,1.27,10.068,14.942,0.019,0.013,4514.0,3041.0,1.0,NegativeBinomial
